Minute,Timestamp,Run1_Steps,Run1_Objective,Run1_Status,Run2_Steps,Run2_Objective,Run2_Status,Run3_Steps,Run3_Objective,Run3_Status,Run4_Steps,Run4_Objective,Run4_Status,Run5_Steps,Run5_Objective,Run5_Status,Best_Overall_Objective,Best_Run
20,07/14/2026 07:20,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
21,07/14/2026 09:10,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
22,07/14/2026 09:11,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
23,07/14/2026 09:12,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
24,07/14/2026 09:13,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
25,07/14/2026 09:14,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
26,07/14/2026 09:15,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
27,07/14/2026 09:16,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
28,07/14/2026 09:17,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
29,07/14/2026 09:18,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
30,07/14/2026 09:19,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
31,07/14/2026 09:20,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
32,07/14/2026 09:21,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
33,07/14/2026 09:22,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
34,07/14/2026 09:23,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
35,07/14/2026 09:24,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
36,07/14/2026 09:25,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
37,07/14/2026 09:26,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
38,07/14/2026 09:27,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
39,07/14/2026 09:28,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
40,07/14/2026 09:29,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
41,07/14/2026 09:30,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
42,07/14/2026 09:31,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
43,07/14/2026 09:32,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
44,07/14/2026 09:33,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
45,07/14/2026 09:34,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
46,07/14/2026 09:35,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
47,07/14/2026 09:36,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
48,07/14/2026 09:37,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
49,07/14/2026 09:38,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
50,07/14/2026 09:39,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
51,07/14/2026 09:40,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
52,07/14/2026 09:41,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
53,07/14/2026 09:43,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
54,07/14/2026 09:44,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
55,07/14/2026 09:45,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
56,07/14/2026 09:46,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
57,07/14/2026 09:47,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
58,07/14/2026 09:48,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
59,07/14/2026 09:49,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
60,07/14/2026 09:50,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
61,07/14/2026 09:51,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
62,07/14/2026 09:52,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
63,07/14/2026 09:53,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
64,07/14/2026 09:54,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
65,07/14/2026 09:55,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
66,07/14/2026 09:56,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
67,07/14/2026 09:57,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
68,07/14/2026 09:58,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
69,07/14/2026 09:59,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
70,07/14/2026 10:00,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
71,07/14/2026 10:01,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
72,07/14/2026 10:02,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
73,07/14/2026 10:03,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
74,07/14/2026 10:04,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
75,07/14/2026 10:05,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
76,07/14/2026 10:06,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
77,07/14/2026 10:07,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
78,07/14/2026 10:08,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
79,07/14/2026 10:09,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
80,07/14/2026 10:10,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
81,07/14/2026 10:11,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
82,07/14/2026 10:12,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
83,07/14/2026 10:13,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
84,07/14/2026 10:14,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
85,07/14/2026 10:15,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,19,-0.985660,RUNNING,-0.985660,Run1
86,07/14/2026 10:16,20,-0.985743,RUNNING,20,-0.985743,RUNNING,20,-0.985743,RUNNING,20,-0.985743,RUNNING,20,-0.985743,RUNNING,-0.985743,Run1
87,07/14/2026 10:17,22,-0.986019,RUNNING,22,-0.986019,RUNNING,22,-0.986019,RUNNING,22,-0.986019,RUNNING,22,-0.986019,RUNNING,-0.986019,Run1
88,07/14/2026 10:18,22,-0.986019,RUNNING,22,-0.986019,RUNNING,22,-0.986019,RUNNING,22,-0.986019,RUNNING,22,-0.986019,RUNNING,-0.986019,Run1
89,07/14/2026 10:19,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
90,07/14/2026 10:20,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
91,07/14/2026 10:21,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
92,07/14/2026 10:22,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
93,07/14/2026 10:23,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
94,07/14/2026 10:24,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
95,07/14/2026 10:26,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
96,07/14/2026 10:27,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
97,07/14/2026 10:28,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
98,07/14/2026 10:29,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
99,07/14/2026 10:30,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
100,07/14/2026 10:31,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
101,07/14/2026 10:32,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
102,07/14/2026 10:33,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
103,07/14/2026 10:34,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
104,07/14/2026 10:35,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
105,07/14/2026 10:36,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
106,07/14/2026 10:37,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
107,07/14/2026 10:38,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
108,07/14/2026 10:39,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
109,07/14/2026 10:40,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
110,07/14/2026 10:41,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
111,07/14/2026 10:42,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
112,07/14/2026 10:43,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
113,07/14/2026 10:44,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
114,07/14/2026 10:45,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
115,07/14/2026 10:46,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
116,07/14/2026 10:47,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
117,07/14/2026 10:48,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
118,07/14/2026 10:49,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
119,07/14/2026 10:50,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
120,07/14/2026 10:51,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
121,07/14/2026 10:52,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
122,07/14/2026 10:53,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
123,07/14/2026 10:54,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
124,07/14/2026 10:55,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
125,07/14/2026 10:56,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
126,07/14/2026 10:57,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
127,07/14/2026 10:58,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
128,07/14/2026 10:59,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
129,07/14/2026 11:00,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
130,07/14/2026 11:01,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
131,07/14/2026 11:02,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
132,07/14/2026 11:04,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
133,07/14/2026 11:05,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
134,07/14/2026 11:06,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
135,07/14/2026 11:07,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
136,07/14/2026 11:08,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
137,07/14/2026 11:09,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
138,07/14/2026 11:10,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
139,07/14/2026 11:11,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
140,07/14/2026 11:12,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
141,07/14/2026 11:13,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
142,07/14/2026 11:14,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
143,07/14/2026 11:15,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
144,07/14/2026 11:16,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
145,07/14/2026 11:17,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
146,07/14/2026 11:18,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
147,07/14/2026 11:19,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,24,-0.986357,RUNNING,-0.986357,Run1
