Level,Parameter,Default value,Config value,Suggested range,Reference
L5,trap_carbide_N_T,2e+25,2e+25,"[2e+23, 2e+27]",Young et al. 1997 — M6C carbide density upper bound (2e25 m-3)
L5L6,k_diss_ref,9.487e-08,9.487e-08,"[9.487e-10, 9.487e-06]",Grant et al. 1988 — 316 steel foil oxidized condition (k1=9.2e-8 at 965 K); re-referenced to T_ref=1623 K for Cr2O3 proxy. DOI: 10.1016/0022-3115(88)90128-7
L5L6,E_diss,57950,57950,"[40000, 70000]",Grant et al. 1988 — foil oxidized both surfaces condition (E_k1=59861 J/mol; value 57950 from re-referencing to Cr2O3 T_ref)
L5L6,K_eq_ref,1e-10,1e-10,"[1e-14, 1e-06]",PLACEHOLDER — no Cr2O3 gas-oxide surface equilibrium constant in literature
L5L6,H_eq,20000,20000,"[5000, 50000]",PLACEHOLDER — no Cr2O3 surface equilibrium enthalpy in literature
L5L6,T_ref_surface,1623,1623,"[600, 1800]",config choice — matches Cr2O3 transport T_ref (1623 K = 1350 C)
L5L6,k_diss_metal_ref,1.346e-06,1.346e-06,"[1.346e-08, 0.0001346]",Grant et al. 1988 — 316 steel clean surface condition (k1=1.346e-6 at 965 K). DOI: 10.1016/0022-3115(88)90128-7
L5L6,E_diss_metal,81560,81560,"[70000, 100000]",Grant et al. 1988 — clean surface condition (E_k1=81560 J/mol)
L5L6,K_eq_metal_ref,1e-08,1e-08,"[1e-10, 0.001]",PLACEHOLDER — no direct surface equilibrium constant measurement for Incoloy 802
L5L6,H_eq_metal,15000,15000,"[5000, 40000]",PLACEHOLDER — no direct surface equilibrium enthalpy measurement
L5L6,T_ref_surface_metal,965,965,"[600, 1100]",Grant et al. 1988 — experimental reference temperature (965 K = 692 C)
